permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,MKTCAPDAY0,ADJPRCDAY0
87657,36952,11,100,EW,EDWARDS LIFESCIENCES CORP,EW,339113,N,A,R,0,0,1,3842,5,303,1,0,2000-04-03,2024-12-31,2000-04-03,2024-12-31,2000-04-03,2024-12-31,20423513.28,31.84
87717,7232,11,100,EXPD,EXPEDITORS INTERNATIONAL WA INC,EXPD,488510,N,A,R,60007198,9341,1,4731,4,289,1,1783,1984-09-26,2024-12-31,1984-09-26,2024-12-31,1984-09-26,2024-12-31,9550406.700000001,53.1
87842,37138,11,100,MET,METLIFE INC,MET,524113,N,A,R,0,0,1,6311,7,305,1,0,2000-04-05,2024-12-31,2000-04-05,2024-12-31,2000-04-05,2024-12-31,53478073.38898565,48.65469063307569
88031,7902,11,100,MNST,MONSTER BEVERAGE CORP NEW,MNST,312111,Q,A,R,60007855,10324,3,2086,11,299,1,2145,1985-12-06,2024-12-31,1985-12-06,2024-12-31,1985-12-06,2024-12-31,25703777.88,22.77
88182,37176,11,100,ON,ON SEMICONDUCTOR CORP,ON,334413,Q,A,R,60017602,23711,3,3674,4,227,1,1408,2000-04-28,2024-12-31,2000-04-28,2024-12-31,2000-04-28,2024-12-31,5316373.9799999995,12.69
88281,37660,11,100,CRL,CHARLES RIVER LABS INTL INC,CRL,541380,N,A,R,0,0,1,8734,10,304,1,0,2000-06-23,2024-12-31,2000-06-23,2024-12-31,2000-06-23,2024-12-31,3622088.37,76.53
88352,37727,11,100,ISRG,INTUITIVE SURGICAL INC,ISRG,339113,Q,A,R,60017642,23792,3,3842,5,214,1,1496,2000-06-13,2024-12-31,2000-06-13,2024-12-31,2000-06-13,2024-12-31,25286525.211999997,71.30999777777778
88446,37938,11,100,ILMN,ILLUMINA INC,ILMN,334516,Q,A,R,60017719,23918,3,3826,4,212,1,1412,2000-07-28,2024-12-31,2000-07-28,2024-12-31,2000-07-28,2024-12-31,18688608.815601557,127.83255913705955
88661,40143,11,100,TPR,TAPESTRY INC,TPR,316990,N,A,R,0,0,1,3199,9,302,1,0,2000-10-05,2024-12-31,2000-10-05,2024-12-31,2000-10-05,2024-12-31,9955761.15,35.51
88664,7864,11,100,JKHY,HENRY JACK & ASSOC INC,JKHY,541512,Q,A,R,60007817,10267,3,7373,3,279,1,1750,1985-11-20,2024-12-31,1985-11-20,2024-12-31,1985-11-20,2024-12-31,6899997.36,88.89
88853,41080,11,100,FLR,FLUOR CORP NEW,FLR,237990,N,A,R,0,0,1,1629,9,300,1,0,2000-12-22,2024-12-31,2000-12-22,2024-12-31,2000-12-22,2024-12-31,7384427.5,53.03
88860,41154,11,100,ALGN,ALIGN TECHNOLOGY INC,ALGN,339114,Q,A,R,60020999,28214,3,3843,5,219,1,1261,2001-01-26,2024-12-31,2001-01-26,2024-12-31,2001-01-26,2024-12-31,7713458.88,96.96
88873,41168,11,100,GPN,GLOBAL PAYMENTS INC,GPN,518210,N,A,R,0,0,1,7374,8,297,1,0,2001-02-01,2024-12-31,2001-02-01,2024-12-31,2001-02-01,2024-12-31,10835638.5,70.5
89002,41671,11,100,BFH,BREAD FINANCIAL HOLDINGS INC,BFH,561450,N,A,R,0,0,1,7323,8,292,1,0,2001-06-08,2024-12-31,2001-06-08,2024-12-31,2001-06-08,2024-12-31,10665502.262452798,184.65524441996567
89003,41673,11,100,FIS,FIDELITY NATIONAL INFO SVCS INC,FIS,561499,N,A,R,0,0,1,7389,8,291,1,0,2001-07-09,2024-12-31,2001-07-09,2024-12-31,2001-07-09,2024-12-31,25266991.44,76.98
89006,41680,11,100,MDLZ,MONDELEZ INTERNATIONAL INC,MDLZ,311513,Q,A,R,60021773,29375,3,2000,9,255,1,433,2001-06-13,2024-12-31,2001-06-13,2024-12-31,2001-06-13,2024-12-31,68547215.10000001,44.85
89031,41562,11,100,AXON,AXON ENTERPRISE INC,AXON,332994,Q,A,R,60021549,29341,3,3480,9,207,1,1387,2001-06-07,2024-12-31,2001-06-07,2024-12-31,2001-06-07,2024-12-31,1286148.5,24.58
89070,41870,11,100,ZBH,ZIMMER BIOMET HOLDINGS INC,ZBH,339113,N,A,R,0,0,1,3842,5,286,1,0,2001-08-07,2024-12-31,2001-08-07,2024-12-31,2001-08-07,2024-12-31,20279922.12164622,101.24773899973151
89155,2801,11,100,MKCV,MCCORMICK & CO INC,MKCV,311999,N,A,R,60002800,0,1,2099,5,287,1,0,2001-09-17,2024-12-31,2001-09-17,2024-12-31,2001-09-17,2024-12-31,1072063.35,46.575
89179,42273,11,100,ELV,ELEVANCE HEALTH INC,ELV,524114,N,A,R,0,0,1,6321,11,290,1,0,2001-10-30,2024-12-31,2001-10-30,2024-12-31,2001-10-30,2024-12-31,37734432.03435,143.24001
89195,42285,11,100,PFG,PRINCIPAL FINANCIAL GROUP INC,PFG,524114,Q,A,R,60050463,35611,3,6321,7,266,1,135,2001-10-23,2024-12-31,2001-10-23,2024-12-31,2001-10-23,2024-12-31,16852352.98,58.58
89216,42401,11,100,AYI,ACUITY BRANDS INC,AYI,335139,N,A,R,0,0,1,3648,6,285,1,0,2001-11-14,2024-12-31,2001-11-14,2024-12-31,2001-11-14,2024-12-31,10324031.959999999,234.19
89217,42402,11,100,AAP,ADVANCE AUTO PARTS INC,AAP,441330,N,A,R,0,0,1,5531,6,284,1,0,2001-11-29,2024-12-31,2001-11-29,2024-12-31,2001-11-29,2024-12-31,12565373.13654,170.60001
89244,42430,11,100,WW,W W INTERNATIONAL INC,WW,812990,Q,A,R,60050560,35763,3,7299,9,267,1,137,2001-11-15,2024-12-31,2001-11-15,2024-12-31,2001-11-15,2024-12-31,707746.08,11.08
89258,42524,11,100,PRU,PRUDENTIAL FINANCIAL INC,PRU,524113,N,A,R,0,0,1,6311,6,286,1,0,2001-12-13,2024-12-31,2001-12-13,2024-12-31,2001-12-13,2024-12-31,45089800.0,104.86
89269,42540,11,100,CNC,CENTENE CORP DEL,CNC,524114,N,A,R,60050794,36078,1,6324,5,282,1,181,2001-12-13,2024-12-31,2001-12-13,2024-12-31,2001-12-13,2024-12-31,9964712.52,29.155
89301,42775,11,100,GME,GAMESTOP CORP NEW,GME,449210,N,A,R,0,0,1,5734,8,287,1,0,2002-02-13,2024-12-31,2002-02-13,2024-12-31,2002-02-13,2024-12-31,2584568.75,6.3425
89393,43145,11,100,NFLX,NETFLIX INC,NFLX,532282,Q,A,R,60051966,37685,3,7841,5,159,1,1441,2002-05-23,2024-12-31,2002-05-23,2024-12-31,2002-05-23,2024-12-31,54827584.46,127.49
89508,43519,11,100,KMX,CARMAX INC,KMX,441120,N,A,R,0,0,1,5521,3,270,1,0,2002-10-01,2024-12-31,2002-10-01,2024-12-31,2002-10-01,2024-12-31,12144091.819999998,64.82
89525,43613,11,100,CMCSA,COMCAST CORP NEW,CMCSA,516210,Q,A,R,70011015,1230,3,4841,4,110,1,1296,2002-11-19,2024-12-31,2002-11-19,2024-12-31,2002-11-19,2024-12-31,163396950.85,34.525
89533,43620,11,100,WYNN,WYNN RESORTS LTD,WYNN,721110,Q,A,R,60053039,39178,3,7990,4,211,1,1321,2002-10-25,2024-12-31,2002-10-25,2024-12-31,2002-10-25,2024-12-31,8903340.54,87.46
89626,43791,11,100,CME,C M E GROUP INC,CME,523210,Q,A,R,60053208,39455,3,6200,6,223,1,564,2002-12-06,2024-12-31,2002-12-06,2024-12-31,2002-12-06,2024-12-31,38694656.0,114.4
89781,44184,11,100,MOH,MOLINA HEALTHCARE INC,MOH,621111,N,A,R,0,0,1,8011,4,262,1,0,2003-07-02,2024-12-31,2003-07-02,2024-12-31,2003-07-02,2024-12-31,3045037.39,53.59
89866,44497,11,100,LKQ,L K Q CORP,LKQ,423930,Q,A,R,60054303,41268,3,5015,6,206,1,973,2003-10-03,2024-12-31,2003-10-03,2024-12-31,2003-10-03,2024-12-31,9543121.35,31.03
90038,44893,11,100,AIZ,ASSURANT INC,AIZ,524210,N,A,R,0,0,1,6411,7,259,1,0,2004-02-05,2024-12-31,2004-02-05,2024-12-31,2004-02-05,2024-12-31,5366063.5600000005,94.12
90071,37496,11,100,NRG,N R G ENERGY INC,NRG,221118,N,A,R,0,0,1,4911,5,256,1,0,2004-03-25,2024-12-31,2004-03-25,2024-12-31,2004-03-25,2024-12-31,3879948.9000000004,12.3
90162,45174,11,100,GNW,GENWORTH FINANCIAL INC,GNW,524113,N,A,R,0,0,1,6399,4,253,1,0,2004-05-25,2024-12-31,2004-05-25,2024-12-31,2004-05-25,2024-12-31,2270974.0500000003,3.87
90199,45270,11,100,CBRE,C B R E GROUP INC,CBRE,531210,N,A,R,0,0,1,6531,9,256,1,0,2004-06-10,2024-12-31,2004-06-10,2024-12-31,2004-06-10,2024-12-31,10647898.03,31.57
90215,45288,11,100,CRM,SALESFORCE INC,CRM,513210,N,A,R,0,0,1,7372,7,255,1,0,2004-06-23,2024-12-31,2004-06-23,2024-12-31,2004-06-23,2024-12-31,47903290.760000005,70.54
90248,45379,11,100,DPZ,DOMINOS PIZZA INC,DPZ,424490,N,A,R,0,0,1,5149,4,250,1,0,2004-07-13,2024-12-31,2004-07-13,2024-12-31,2004-07-13,2024-12-31,7631843.48,158.36
90319,45483,11,100,GOOGL,ALPHABET INC,GOOGL,541511,Q,A,R,60056743,44290,3,7375,9,190,1,1244,2004-08-19,2024-12-31,2004-08-19,2024-12-31,2004-08-19,2024-12-31,239972508.88992,40.4005005
90386,45695,11,100,MOS,MOSAIC CO NEW,MOS,325312,N,A,R,0,0,1,2874,2,245,1,0,2004-10-25,2024-12-31,2004-10-25,2024-12-31,2004-10-25,2024-12-31,10342557.67,29.53
90454,45878,11,100,MKTX,MARKETAXESS HLDGS INC,MKTX,523150,Q,A,R,60057284,45017,3,6211,5,186,1,929,2004-11-05,2024-12-31,2004-11-05,2024-12-31,2004-11-05,2024-12-31,5638357.54456,150.17999
90455,45879,11,100,MPWR,MONOLITHIC PWR SYS INC,MPWR,334413,Q,A,R,60057385,45157,3,3674,4,183,1,931,2004-11-19,2024-12-31,2004-11-19,2024-12-31,2004-11-19,2024-12-31,3410702.73,83.61
90505,46024,11,100,LVS,LAS VEGAS SANDS CORP,LVS,721110,N,A,R,0,0,1,7011,4,244,1,0,2004-12-15,2024-12-31,2004-12-15,2024-12-31,2004-12-15,2024-12-31,42386364.019999996,53.33
90520,46091,11,100,CE,CELANESE CORP DEL,CE,325180,N,A,R,0,0,1,2819,4,246,1,0,2005-01-21,2024-12-31,2005-01-21,2024-12-31,2005-01-21,2024-12-31,11385752.49,79.51
90601,46282,11,100,NDAQ,NASDAQ INC,NDAQ,523210,Q,A,R,60052274,38141,3,6200,5,189,1,1015,2005-02-10,2024-12-31,2005-02-10,2024-12-31,2005-02-10,2024-12-31,11107487.720000003,22.22666666666667
90664,46559,11,100,DXCM,DEXCOM INC,DXCM,339112,Q,A,R,60058481,47974,3,3841,3,177,1,907,2005-04-14,2024-12-31,2005-04-14,2024-12-31,2005-04-14,2024-12-31,4927950.0,14.5625
90720,46846,11,100,BLDR,BUILDERS FIRSTSOURCE INC,BLDR,321113,N,A,R,60058488,48543,1,2421,5,183,1,925,2005-06-22,2024-12-31,2005-06-22,2024-12-31,2005-06-22,2024-12-31,1298604.96,11.64
90808,47013,11,100,EXPE,EXPEDIA GROUP INC,EXPE,561510,Q,A,R,60059136,48781,3,4833,8,187,1,994,2005-08-09,2024-12-31,2005-08-09,2024-12-31,2005-08-09,2024-12-31,15430366.08,112.44
90829,47183,11,100,CF,C F INDUSTRIES HOLDINGS INC,CF,325311,N,A,R,0,0,1,2873,1,235,1,0,2005-08-11,2024-12-31,2005-08-11,2024-12-31,2005-08-11,2024-12-31,7429343.180000001,31.87
90880,47422,11,100,AMP,AMERIPRISE FINANCIAL INC,AMP,561499,N,A,R,0,0,1,7389,8,238,1,0,2005-10-03,2024-12-31,2005-10-03,2024-12-31,2005-10-03,2024-12-31,17677668.8,111.85
90979,48779,11,100,UAA,UNDER ARMOUR INC,UAA,315250,N,A,R,60059930,50331,1,2329,9,237,1,63,2005-11-18,2024-12-31,2005-11-18,2024-12-31,2005-11-18,2024-12-31,5488283.930000001,29.87
90993,48793,11,100,ICE,INTERCONTINENTALEXCHANGE GRP INC,ICE,523210,N,A,R,0,0,1,6231,3,234,1,0,2005-11-16,2024-12-31,2005-11-16,2024-12-31,2005-11-16,2024-12-31,33488904.72,56.22
91041,50016,11,100,LYV,LIVE NATION ENTERTAINMENT INC,LYV,561499,N,A,R,0,0,1,7389,10,239,1,0,2005-12-22,2024-12-31,2005-12-22,2024-12-31,2005-12-22,2024-12-31,5574173.8,27.4
91068,50184,11,100,CMG,CHIPOTLE MEXICAN GRILL INC,CMG,722511,N,A,R,0,0,1,5812,4,234,1,0,2006-01-26,2024-12-31,2006-01-26,2024-12-31,2006-01-26,2024-12-31,10849216.440510001,7.4953998
91103,21793,11,100,UAL,UNITED AIRLINES HOLDINGS INC,UAL,481111,Q,A,R,60060121,50997,3,4512,4,212,1,632,2006-02-02,2024-12-31,2006-02-02,2024-12-31,2006-02-02,2024-12-31,23069865.06,72.71
91152,50481,11,100,TDG,TRANSDIGM GROUP INC,TDG,336413,N,A,R,0,0,1,3728,1,227,1,0,2006-03-15,2024-12-31,2006-03-15,2024-12-31,2006-03-15,2024-12-31,13365807.38652,250.53999
91233,50700,11,100,MA,MASTERCARD INC,MA,561499,N,A,R,0,0,1,7389,6,231,1,0,2006-05-25,2024-12-31,2006-05-25,2024-12-31,2006-05-25,2024-12-31,112714078.05,105.39
91416,51096,11,100,HBI,HANESBRANDS INC,HBI,315120,N,A,R,0,0,1,2253,5,227,1,0,2006-09-06,2024-12-31,2006-09-06,2024-12-31,2006-09-06,2024-12-31,8360143.4,22.12
91461,51196,11,100,WU,WESTERN UNION CO,WU,522320,N,A,R,0,0,1,6099,3,222,1,0,2006-10-02,2024-12-31,2006-10-02,2024-12-31,2006-10-02,2024-12-31,10652264.35,21.97
91547,51338,11,100,LDOS,LEIDOS HOLDINGS INC,LDOS,541512,N,A,R,0,0,1,7373,7,227,1,0,2006-10-13,2024-12-31,2006-10-13,2024-12-31,2006-10-13,2024-12-31,7661045.800000001,50.95
91556,7684,11,100,ROST,ROSS STORES INC,ROST,458110,Q,A,R,60007639,10020,3,5650,6,325,1,2134,1985-08-08,2024-12-31,1985-08-08,2024-12-31,1985-08-08,2024-12-31,26019613.8,65.61
91611,51447,11,100,FSLR,FIRST SOLAR INC,FSLR,334413,Q,A,R,60062652,54143,3,3674,4,169,1,758,2006-11-17,2024-12-31,2006-11-17,2024-12-31,2006-11-17,2024-12-31,3489333.9,33.54
91668,51555,11,100,IPGP,I P G PHOTONICS CORP,IPGP,335999,Q,A,R,60062399,53809,3,3674,2,162,1,912,2006-12-13,2024-12-31,2006-12-13,2024-12-31,2006-12-13,2024-12-31,5260232.5600000005,98.78
91849,51962,11,100,BR,BROADRIDGE FINANCIAL SOLUTNS INC,BR,518210,N,A,R,0,0,1,7374,7,219,1,0,2007-04-02,2024-12-31,2007-04-02,2024-12-31,2007-04-02,2024-12-31,7850812.540000001,65.93
91926,20569,11,100,DAL,DELTA AIR LINES INC,DAL,481111,N,A,R,0,0,1,4512,1,213,1,0,2007-05-03,2024-12-31,2007-05-03,2024-12-31,2007-05-03,2024-12-31,37055967.839999996,49.48
91937,52120,11,100,TMUS,T MOBILE U S INC,TMUS,517112,Q,A,R,60056450,57179,3,4812,6,206,1,263,2007-04-19,2024-12-31,2007-04-19,2024-12-31,2007-04-19,2024-12-31,48029264.38990165,58.12168879782183
92050,52301,11,100,PODD,INSULET CORP,PODD,339112,Q,A,R,60064211,56211,3,3841,4,166,1,825,2007-05-15,2024-12-31,2007-05-15,2024-12-31,2007-05-15,2024-12-31,2146056.3000000003,37.35
92108,52388,11,100,BX,BLACKSTONE INC,BX,523940,N,A,R,0,0,1,6282,5,217,1,0,2007-06-22,2024-12-31,2007-06-22,2024-12-31,2007-06-22,2024-12-31,16084358.8,28.12
92121,52396,11,100,DFS,DISCOVER FINANCIAL SERVICES,DFS,522110,N,A,R,0,0,1,6022,10,220,1,0,2007-07-02,2024-12-31,2007-07-02,2024-12-31,2007-07-02,2024-12-31,28684639.270000003,72.73
92203,52547,11,100,LULU,LULULEMON ATHLETICA INC,LULU,458110,Q,A,R,60065067,57424,3,5600,4,180,1,1049,2007-07-30,2024-12-31,2007-07-30,2024-12-31,2007-07-30,2024-12-31,8507531.549999999,66.85
92293,52762,11,100,TDC,TERADATA CORP DE,TDC,334112,N,A,R,0,0,1,3572,2,209,1,0,2007-10-01,2024-12-31,2007-10-01,2024-12-31,2007-10-01,2024-12-31,3582642.0,27.58
92322,52788,11,100,ULTA,ULTA BEAUTY INC,ULTA,456120,Q,A,R,60065428,58120,3,5999,4,161,1,767,2007-10-25,2024-12-31,2007-10-25,2024-12-31,2007-10-25,2024-12-31,15973965.817669999,256.67999
92402,52840,11,100,MSCI,M S C I INC,MSCI,561499,N,A,R,0,0,1,7389,11,216,1,0,2007-11-15,2024-12-31,2007-11-15,2024-12-31,2007-11-15,2024-12-31,7408500.039999999,78.71
92602,52978,11,100,PM,PHILIP MORRIS INTERNATIONAL INC,PM,312230,N,A,R,0,0,1,2111,3,204,1,0,2008-03-31,2024-12-31,2008-03-31,2024-12-31,2008-03-31,2024-12-31,141529660.5,91.23
92611,52983,11,100,V,VISA INC,V,561499,N,A,R,0,0,1,7389,6,209,1,0,2008-03-19,2024-12-31,2008-03-19,2024-12-31,2008-03-19,2024-12-31,147469399.5,79.5
92614,52985,11,100,AWK,AMERICAN WATER WORKS CO INC,AWK,221310,N,A,R,0,0,1,4941,2,204,1,0,2008-04-23,2024-12-31,2008-04-23,2024-12-31,2008-04-23,2024-12-31,12860716.75,72.25
92655,7267,11,100,UNH,UNITEDHEALTH GROUP INC,UNH,524114,N,A,R,60007233,9402,1,6324,7,420,1,180,1984-10-17,2024-12-31,1984-10-17,2024-12-31,1984-10-17,2024-12-31,153670693.2,161.45
93002,53196,11,100,AVGO,BROADCOM INC,AVGO,334413,Q,A,R,60067764,62262,3,9999,5,156,1,663,2009-08-06,2024-12-31,2009-08-06,2024-12-31,2009-08-06,2024-12-31,70859832.2,17.834
93089,53256,11,100,VRSK,VERISK ANALYTICS INC,VRSK,518210,Q,A,R,60069043,64963,3,9999,4,141,1,440,2009-10-07,2024-12-31,2009-10-07,2024-12-31,2009-10-07,2024-12-31,13573609.12,81.32
93096,53264,11,100,DG,DOLLAR GENERAL CORP NEW,DG,455219,N,A,R,0,0,1,5331,5,187,1,0,2009-11-13,2024-12-31,2009-11-13,2024-12-31,2009-11-13,2024-12-31,20496026.16,74.19
93132,53286,11,100,FTNT,FORTINET INC,FTNT,334118,Q,A,R,60069153,65163,3,9999,2,124,1,544,2009-11-18,2024-12-31,2009-11-18,2024-12-31,2009-11-18,2024-12-31,5213109.359999999,6.024
93246,53339,11,100,GNRC,GENERAC HOLDINGS INC,GNRC,335312,N,A,R,0,0,1,3621,1,179,1,0,2010-02-11,2024-12-31,2010-02-11,2024-12-31,2010-02-11,2024-12-31,2677323.78,41.94
93429,53447,11,100,CBOE,C B O E GLOBAL MARKETS INC,CBOE,523150,B,A,R,60069790,66182,5,6211,7,155,1,292,2010-06-15,2024-12-31,2010-06-15,2024-12-31,2010-06-15,2024-12-31,5934617.850000001,73.01
93436,53453,11,100,TSLA,TESLA INC,TSLA,336110,Q,A,R,60069832,66252,3,9999,4,131,1,724,2010-06-29,2024-12-31,2010-06-29,2024-12-31,2010-06-29,2024-12-31,35057123.005610004,14.466000666666668
